"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.305698900E2,4.300199689E1,-7.879083612E1,1.801192019E2,1.454073102E2,1.549999952E0,1.606640668E2,3.668578183E-1,4.596103013E0,3.563758427E0,-1.000000000E0
1.315698731E2,4.300193761E1,-7.879081964E1,1.783569659E2,1.436451853E2,1.466524308E0,1.534364313E2,3.685574429E-1,4.754597969E0,3.349378328E0,-1.000000000E0
1.325698557E2,4.300192354E1,-7.879081147E1,1.781220717E2,1.434103184E2,1.413158046E0,1.536196623E2,3.700691839E-1,4.750421151E0,3.355299677E0,-1.000000000E0
1.335698408E2,4.300191107E1,-7.879080407E1,1.782488398E2,1.435371109E2,1.388556336E0,1.551243675E2,3.714601230E-1,4.748976952E0,3.357343435E0,-1.000000000E0
1.345698265E2,4.300189878E1,-7.879080089E1,1.780951596E2,1.433834537E2,1.356044308E0,1.602684731E2,3.733509238E-1,4.748057098E0,3.358644195E0,-1.000000000E0
1.355698139E2,4.300188197E1,-7.879079740E1,1.782908191E2,1.435791444E2,1.406082626E0,1.590742960E2,3.749329104E-1,4.749532696E0,3.356557194E0,-1.000000000E0
1.365698016E2,4.300187085E1,-7.879078526E1,1.783238830E2,1.436122313E2,1.406309342E0,1.497857446E2,3.763639781E-1,4.745404042E0,3.362391636E0,-1.000000000E0
1.375697898E2,4.300186690E1,-7.879076852E1,1.781534698E2,1.434418295E2,1.297226056E0,1.355525186E2,3.780241695E-1,4.749133552E0,3.357121914E0,-1.000000000E0
1.385697788E2,4.300187452E1,-7.879075096E1,1.776842135E2,1.429725638E2,1.260047148E0,9.436894186E1,3.798725419E-1,4.751122013E0,3.354307179E0,-1.000000000E0
1.395697691E2,4.300188838E1,-7.879073843E1,1.776042090E2,1.428925375E2,1.238435915E0,5.665884030E1,3.817919648E-1,4.764439127E0,3.335364573E0,-1.000000000E0
1.405697598E2,4.300190457E1,-7.879073021E1,1.776123618E2,1.429006632E2,1.283873861E0,3.495908936E1,3.836761756E-1,4.763846867E0,3.336210434E0,-1.000000000E0
1.415697513E2,4.300192135E1,-7.879072698E1,1.774417221E2,1.427299940E2,1.375889550E0,2.601355320E1,3.852318720E-1,4.768204686E0,3.329979144E0,-1.000000000E0
